$ eslint .
=== test spot batch fetch directly ===
1175 symbols returned:
  DOGSUSDT   price=0.00003892
  ORDERUSDT  price=0.03384
  CPOOLUSDT  price=0.01953
  MAKUSDT    price=0.001076
  NEIROCTOUSDT price=0.00006204
  CATIUSDT   price=0.04019
  HMSTRUSDT  price=0.000207
  MOODENGUSDT price=0.04003
  EIGENUSDT  price=0.2344
  CARVUSDT   price=0.03513
  PUFFERUSDT price=0.0141
  DBRUSDT    price=0.01629
  GRAMEUR    price=1.433
  GOATUSDT   price=0.01381
  SUIEUR     price=0.6472
  GRASSUSDT  price=0.3987
  ACTUSDT    price=0.00878
  BANUSDT    price=0.07197
  SWELLUSDT  price=0.000715
  PNUTUSDT   price=0.04303
  PEAQUSDT   price=0.01803
  FARTCOINUSDT price=0.1507
  NSUSDT     price=0.01225
  SOLUSDE    price=76.85
  ETHUSDE    price=1803.36
  BTCUSDE    price=63941.26
  MORPHOUSDT price=1.992
  CHEEMSUSDT price=0.000000468
  CHILLGUYUSDT price=0.00982
  CLANKERUSDT price=15.09
  AIXBTUSDT  price=0.01943
  HBARUSDT   price=0.06772
  VERONAUSDT price=0.126
  FUSDT      price=0.00344
  MOVEUSDT   price=0.01113
  BGSCUSDT   price=0.000713
  MEUSDT     price=0.06403
  ALGOUSDT   price=0.084
  VANAUSDT   price=1.2225
  PENGUUSDT  price=0.006059
  USUALUSDT  price=0.01001
  HYPEUSDT   price=66.794
  FUELUSDT   price=0.0007004
  PHAUSDT    price=0.02506
  WEETHUSDT  price=1979.36
  BLUEUSDT   price=0.00975
  BIOUSDT    price=0.02893
  SONICUSDT  price=0.024499
  HIVEUSDT   price=0.04965
  XTERUSDT   price=0.00938
  SUSDT      price=0.02586
  SOLVUSDT   price=0.002735
  GPSUSDT    price=0.010399
  VERTUSDT   price=0.000716
  TRUMPUSDT  price=1.576
  PLUMEUSDT  price=0.01013
  VTHOUSDT   price=0.0003751
  SKYUSDT    price=0.06201
  ANIMEUSDT  price=0.00284
  USDSUSDT   price=1.0004
  ONDOUSDC   price=0.3292
  SUIUSDC    price=0.741
  PEPEUSDC   price=0.00000274
  FETUSDC    price=0.1605
  TAOUSDC    price=210.1
  XLMUSDC    price=0.1863
  RENDERUSDC price=1.55
  JELLYJELLYUSDT price=0.05369
  BERAUSDT   price=0.1948
  ICPUSDC    price=2.246
  USDEUSDC   price=1
